year,unemployment_ilo,gdp_growth,inflation,investment_gfcf,hdi,labour_participation,Employment_to_population,youth_neet_rate
1991,2.78,1.43834679171559,20.0844955754632,19.030097137824,0.485,72.938,70.91,
1992,2.894,-0.799493958641349,27.3323644475784,16.5813700913836,0.484,72.879,70.77,
1993,2.979,0.353197256227247,45.9788813036218,16.9376161081051,0.483,72.813,70.644,
1994,2.955,2.632784517837,28.8143894306731,18.8730714787575,0.484,72.742,70.592,
1995,2.848,4.40621652482287,1.55432816055009,21.3855866193786,0.488,72.67,70.601,
1996,2.773,4.14683926876013,8.86408741577522,16.0090581658668,0.491,72.603,70.59,
1997,2.818,0.474901921293579,11.3618450505783,15.3879007624174,0.493,72.535,70.49,
1998,2.843,3.29021372249065,6.72243650753928,15.6752132854385,0.496,72.467,70.406,
1999,2.884,2.30538859522412,5.74200109520484,15.5914314794886,0.499,72.391,70.303,
2000,2.884,0.599695390807426,9.98002515350979,16.7088065135105,0.5,72.512,70.421,
2001,2.876,3.77990649795343,5.73859814341467,18.1515573586507,0.505,72.633,70.544,
2002,2.916,0.546859530175595,1.96130821739162,17.2368798490979,0.504,72.753,70.632,
2003,2.869,2.93247554570904,9.81569062979654,15.8382091250789,0.515,72.873,70.782,
2004,2.844,5.10429977629738,11.6240355442426,16.2592234815342,0.526,72.993,70.917,
2005,2.739,5.90666607980057,10.3127783574683,18.6991117625245,0.532,73.113,71.11,22.696
2006,2.673,6.47249430015484,14.4537342081708,19.4244380225784,0.541,73.232,71.274,21.821
2007,2.642,6.85072976998784,9.75888023027529,19.9647291071788,0.548,73.351,71.413,20.946
2008,2.751,0.232282744812977,26.2398166445063,18.8649238157143,0.553,73.469,71.448,20.226
2009,2.816,3.30693981631089,9.23412592394652,18.2864916251532,0.553,73.587,71.515,19.44
2010,2.793,8.05847360290906,3.96138889115385,20.8470576462838,0.552,73.705,71.646,18.544
2011,2.699,5.1211061197056,14.0224913014704,20.7086390580308,0.56,73.823,71.83,17.639
2012,2.678,4.56867961444982,9.37777003547598,21.5850382332069,0.565,73.94,71.96,16.809
2013,2.762,3.7978483925754,5.71749357037733,20.7857855351267,0.57,74.057,72.011,16.077
2014,2.767,5.02011100232484,6.87815499275949,23.8847336743931,0.576,74.173,72.121,15.313
2015,2.762,4.96772112759767,6.58215429284779,22.0910367724206,0.583,74.289,72.237,14.567
2016,2.757,4.21351706814744,6.29724953814625,19.3917380733162,0.594,74.405,72.354,13.731
2017,3.542,3.83795817364721,8.00564967709945,19.895722184842,0.599,72.306,69.745,15.602
2018,4.284,5.64794640709219,4.6898064677633,19.0979953870895,0.605,70.103,67.099,17.596
2019,5.014,5.11415885767801,5.23963795764792,18.961572231805,0.611,67.803,64.404,19.667
2020,5.613,-0.272766327438816,5.40516207933392,19.3215816602225,0.6,67.081,63.316,19.455
2021,5.693,7.59048947333467,6.10793603659176,19.686261552744,0.608,67.462,63.621,18.503
2022,5.565,4.85998104287999,7.65986268272224,18.6052528302827,0.626,67.503,63.747,19.274
2023,5.409,5.71999241214208,7.67139634029402,17.4638027725876,0.628,67.463,63.814,19.329
2024,5.487,4.66019594571891,4.48978854243448,17.5649161132175,,67.418,63.719,19.435
2025,5.449,4.63261093844984,4.06912878540729,17.9169380591398,,67.385,63.713,19.54
