"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.70317123977617,3.79006242149321,1.24092184157833,0.226628061119189
"L(unemployment_ilo, 1)",0.872543671270734,0.109116920054419,7.99641037187983,3.1811685035172e-08
"gdp_growth",-0.0242953246247813,0.0086497481017291,-2.80878984440306,0.00972841801989811
"L(gdp_growth, 1)",-0.0193770572210075,0.00804023302062908,-2.41001189533825,0.0239780477704764
"inflation",0.00141871687036076,0.00222782642212475,0.636816610249052,0.530272179822164
"L(inflation, 1)",-0.00512033630674688,0.0023057325675239,-2.22069826261141,0.0360643513344776
"investment_gfcf",0.0335542654566438,0.0120070701985374,2.7945422906523,0.0100558042181945
"L(investment_gfcf, 1)",0.00536911180097776,0.011859769889133,0.452716355474774,0.65481899525714
"labour_participation",-0.348436823471576,0.0242516632386079,-14.3675433739685,2.76326852535594e-13
"L(labour_participation, 1)",0.282168986402487,0.0461831609946673,6.1097807149898,2.60280448326893e-06
