term,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),5.421717133912336,3.304205017606274,1.6408537318426113,0.11443365273214061
"L(unemployment_ilo, 1)",-0.15164074648789577,0.09528903768036891,-1.5913766177023345,0.12517703210815037
"L(gdp_growth, 1)",-0.040629107694230955,0.011239055987386087,-3.6149929086419856,0.0014555724847014383
"L(inflation, 1)",-0.005866071656086023,0.0023199060813735737,-2.52858152456449,0.018769974676760552
investment_gfcf,0.03907638715390499,0.010538423633222485,3.7079916801518866,0.001158292604501366
"L(labour_participation, 1)",-0.0749785206160338,0.04321632494753094,-1.7349582757688309,0.09613105854344885
d(gdp_growth),-0.023014550078800947,0.008227685420876181,-2.7972083157683594,0.01023547064918555
d(inflation),0.0011143345366263502,0.0021403396676459453,0.5206344364266033,0.6075977123624399
"d(L(inflation, 1))",0.0038564037030763935,0.001929525083374794,1.998628437797468,0.05760279575082509
d(labour_participation),-0.34806959329855414,0.022656234589742915,-15.363082153825092,1.3846030273042401e-13
