term,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),4.7031712397762195,3.790062421493208,1.2409218415783414,0.22662806111918365
"L(unemployment_ilo, 1)",-0.12745632872926785,0.10911692005441846,-1.168071172332423,0.2542511259068706
"L(gdp_growth, 1)",-0.04367238184578921,0.011499531488544282,-3.7977531423167283,8.769752305261703e-4
"L(inflation, 1)",-0.003701619436386036,0.002230304828116677,-1.6596921594398253,0.10998858766748157
"L(investment_gfcf, 1)",0.03892337725762181,0.01303222778867199,2.9867017281155257,0.006404805756683195
"L(labour_participation, 1)",-0.06626783706908933,0.05003520339917331,-1.3244242566661417,0.1978368273792744
d(gdp_growth),-0.024295324624781532,0.008649748101729086,-2.8087898444030865,0.009728418019897506
d(inflation),0.0014187168703608398,0.0022278264221247536,0.6368166102490882,0.5302721798221408
d(investment_gfcf),0.03355426545664357,0.012007070198537426,2.794542290652285,0.010055804218194797
d(labour_participation),-0.34843682347157656,0.02425166323860785,-14.367543373968537,2.763268525355863e-13
