variable,model,RMSE,MAE
gdp_growth,Naive,5.873429791456274,5.765420289943914
gdp_growth,Drift,6.0359117751763804,5.942431991925404
gdp_growth,ARIMA,5.873429791456274,5.765420289943914
gdp_growth,ETS,2.0978496484057905,1.7730952461295426
inflation,Naive,1.6331734412489753,1.495023130486466
inflation,Drift,2.4132284542499804,2.1130121391349306
inflation,ARIMA,1.6331734412489753,1.495023130486466
inflation,ETS,1.5928814164498977,1.4706612328388444
investment_gfcf,Naive,1.3532448634339116,1.2200193516367797
investment_gfcf,Drift,1.3840416923141305,1.2461524467483691
investment_gfcf,ARIMA,1.3532448634339116,1.2200193516367797
investment_gfcf,ETS,1.353215418836076,1.2199970943531775
labour_participation,Naive,0.3674653725182807,0.3651999999999987
labour_participation,Drift,1.0034742197143829,0.9710965517241362
labour_participation,ARIMA,5.12239657381791,4.3403562840266945
labour_participation,ETS,2.7251716689527337,2.5386191934195894
