year,variable,model,forecast,lower_80,upper_80,lower_95,upper_95
2026,gdp_growth,ETS,5.1476144578249245,2.522782599709169,7.77244631594068,1.1332805475120606,9.16194836813779
2027,gdp_growth,ETS,5.178619870327788,2.553787783510403,7.803451957145173,1.1642856102459653,9.19295413040961
2028,gdp_growth,ETS,5.207836809515731,2.5830043863480463,7.832669232683417,1.193502035030515,9.222171584000947
2029,gdp_growth,ETS,5.235368439208874,2.6105355593103257,7.860201319107422,1.2210329662140804,9.2497039122036675
2030,gdp_growth,ETS,5.261311972468276,2.636478505582998,7.8861454393535535,1.2469756017547482,9.275648343181803
2026,inflation,ETS,5.010846311227727,1.6854929070635452,8.33619971539191,-0.07484285123667345,10.096535473692128
2027,inflation,ETS,5.010846311227727,1.2303017304231116,8.791390892032343,-0.7709976812739123,10.792690303729366
2028,inflation,ETS,5.010846311227727,0.8004877482510491,9.221204874204405,-1.428341441570435,11.450034064025889
2029,inflation,ETS,5.010846311227727,0.387627207776716,9.634065414678737,-2.0597571502497534,12.081449772705207
2030,inflation,ETS,5.010846311227727,-0.013769447989885997,10.035462070445341,-2.673640360234394,12.695332982689848
2026,investment_gfcf,ETS,17.91690192253173,15.958720054440924,19.875083790622533,14.922121189689054,20.911682655374403
2027,investment_gfcf,ETS,17.91690192253173,15.142726849939512,20.691076995123943,13.674167275503354,22.159636569560103
2028,investment_gfcf,ETS,17.91690192253173,14.513124973178634,21.320678871884823,12.711274297782435,23.122529547281022
2029,investment_gfcf,ETS,17.91690192253173,13.979436879407647,21.85436696565581,11.895068792758948,23.93873505230451
2030,investment_gfcf,ETS,17.91690192253173,13.506680462412177,22.32712338265128,11.17205024580133,24.661753599262127
2026,labour_participation,Naive,67.385,66.51976226839476,68.25023773160525,66.0617330807397,68.70826691926031
2027,labour_participation,Naive,67.385,66.16136906528693,68.60863093471308,65.51361797614243,69.25638202385758
2028,labour_participation,Naive,67.385,65.88636428823408,68.88363571176593,65.09303446386602,69.67696553613399
2029,labour_participation,Naive,67.385,65.65452453678951,69.1154754632105,64.73846616147941,70.0315338385206
2030,labour_participation,Naive,67.385,65.45026961543296,69.31973038456705,64.42608521615725,70.34391478384276
