year,unemployment_ilo,gdp_growth,inflation,investment_gfcf,labour_participation
1991,2.78,1.438346792,20.08449558,19.03009714,72.938
1992,2.894,-0.799493959,27.33236445,16.58137009,72.879
1993,2.979,0.353197256,45.9788813,16.93761611,72.813
1994,2.955,2.632784518,28.81438943,18.87307148,72.742
1995,2.848,4.406216525,1.554328161,21.38558662,72.67
1996,2.773,4.146839269,8.864087416,16.00905817,72.603
1997,2.818,0.474901921,11.36184505,15.38790076,72.535
1998,2.843,3.290213722,6.722436508,15.67521329,72.467
1999,2.884,2.305388595,5.742001095,15.59143148,72.391
2000,2.884,0.599695391,9.980025154,16.70880651,72.512
2001,2.876,3.779906498,5.738598143,18.15155736,72.633
2002,2.916,0.54685953,1.961308217,17.23687985,72.753
2003,2.869,2.932475546,9.81569063,15.83820913,72.873
2004,2.844,5.104299776,11.62403554,16.25922348,72.993
2005,2.739,5.90666608,10.31277836,18.69911176,73.113
2006,2.673,6.4724943,14.45373421,19.42443802,73.232
2007,2.642,6.85072977,9.75888023,19.96472911,73.351
2008,2.751,0.232282745,26.23981664,18.86492382,73.469
2009,2.816,3.306939816,9.234125924,18.28649163,73.587
2010,2.793,8.058473603,3.961388891,20.84705765,73.705
2011,2.699,5.12110612,14.0224913,20.70863906,73.823
2012,2.678,4.568679614,9.377770035,21.58503823,73.94
2013,2.762,3.797848393,5.71749357,20.78578554,74.057
2014,2.767,5.020111002,6.878154993,23.88473367,74.173
2015,2.762,4.967721128,6.582154293,22.09103677,74.289
2016,2.757,4.213517068,6.297249538,19.39173807,74.405
2017,3.542,3.837958174,8.005649677,19.89572218,72.306
2018,4.284,5.647946407,4.689806468,19.09799539,70.103
2019,5.014,5.114158858,5.239637958,18.96157223,67.803
2020,5.613,-0.272766327,5.405162079,19.32158166,67.081
